nome,cnpj,produto,data,preco,bandeira
AUTO POSTO DF 180 LTDA,07347238000137,ETANOL,03/02/2020,"3,549",IPIRANGA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597001500,ETANOL,03/02/2020,"3,519",BRANCA
AUTO POSTO ALMENARA LTDA.,05299796000149,ETANOL,04/02/2020,"3,549",RAIZEN
AUTO POSTO DO NUCLEO LTDA,04285663000150,ETANOL,04/02/2020,"3,549",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO SAO MARCOS LTDA,72587132000172,ETANOL,04/02/2020,"3,549",RAIZEN
CALLTECH COMBUSTIVEIS E SERVICOS LTDA,01357769000124,ETANOL,04/02/2020,"3,699",IPIRANGA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597002655,ETANOL,04/02/2020,"3,549",IPIRANGA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597005670,ETANOL,04/02/2020,"3,549",PETROBRAS DISTRIBUIDORA S.A.
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597008343,ETANOL,04/02/2020,"3,449",IPIRANGA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597009072,ETANOL,04/02/2020,"3,519",BRANCA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597009234,ETANOL,04/02/2020,"3,539",PETROBRAS DISTRIBUIDORA S.A.
COMERCIAL DE COMBUSTIVEIS MAM LTDA,10702904000112,ETANOL,04/02/2020,"3,699",IPIRANGA
DFM - DERIVADOS DE PETRÓLEO LTDA.,07821726000134,ETANOL,04/02/2020,"3,549",PETROBRAS DISTRIBUIDORA S.A.
MAXXI COMERCIO DE DERIVADOS DE PETROLEO LTDA,13640575000110,ETANOL,04/02/2020,"3,549",RAIZEN
PETROIL COMBUSTIVEIS LTDA,02072286000146,ETANOL,04/02/2020,"3,545",BRANCA
PIONEIRO COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA,07822636000168,ETANOL,04/02/2020,"3,549",RAIZEN
POSTO CIDADE DO AUTOMOVEL LTDA - ME,07441011000237,ETANOL,04/02/2020,"3,599",IPIRANGA
POSTO DAS AGUAS LTDA,05351082000132,ETANOL,04/02/2020,"3,549",BRANCA
POSTO SAÍDA SUL LTDA.,07210707000171,ETANOL,04/02/2020,"3,549",RAIZEN
SAN REMO POSTO E SERVIÇOS LTDA,01655778000525,ETANOL,04/02/2020,"3,549",PETROBRAS DISTRIBUIDORA S.A.
ABRITTA POSTOS DE SERVIÇOS LTDA,10668863000195,ETANOL,05/02/2020,"3,599",RAIZEN
AGUAS CLARAS POSTO DE SERVICOS LTDA,06006437000119,ETANOL,05/02/2020,"3,697",BRANCA
AUTO POSTO G SUL LTDA,02570563000140,ETANOL,05/02/2020,"3,599",IPIRANGA
AUTO POSTO JP DERIVADOS DE PETROLEO LTDA,04787155000170,ETANOL,05/02/2020,"3,497",BRANCA
AUTO POSTO QS 09 EIRELI,05959931000135,ETANOL,05/02/2020,"3,499",RAIZEN
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597003465,ETANOL,05/02/2020,"3,399",BRANCA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006804,ETANOL,05/02/2020,"3,489",BRANCA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597009315,ETANOL,05/02/2020,"3,499",BRANCA
JARJOUR VEICULOS E PETROLEO LIMITADA,00108670000126,ETANOL,05/02/2020,"3,499",BRANCA
"SARIEDYN COMBUSTIVEIS, LUBRIFICANTES E REPARACAO LTDA",08642617000112,ETANOL,05/02/2020,"3,499",BRANCA
AUTO POSTO LAZZAT LTDA,03690812000102,ETANOL,06/02/2020,"3,499",BRANCA
AUTO POSTO RAMALHO LTDA.,01276763000122,ETANOL,06/02/2020,"3,849",IPIRANGA
CEU 070 COMBUSTIVEIS LTDA,00976256000139,ETANOL,06/02/2020,"3,59",IPIRANGA
EUROGAS - POSTOS DE SERVICOS LTDA.,03648818000103,ETANOL,06/02/2020,"3,549",PETROBRAS DISTRIBUIDORA S.A.
GP COMERCIO DE PETROLEO LTDA EPP,03776075000157,ETANOL,06/02/2020,"3,69",IPIRANGA
JADE COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,01156523000194,ETANOL,06/02/2020,"3,539",PETROBRAS DISTRIBUIDORA S.A.
JAJUR COMERCIO DE DERIVADOS DE PETROLEO LTDA,72622608000169,ETANOL,06/02/2020,"3,599",PETROBRAS DISTRIBUIDORA S.A.
JARJOUR VEICULOS E PETROLEO LIMITADA,00108670000207,ETANOL,06/02/2020,"3,499",BRANCA
JJS COMERCIO DE COMBUSTIVEIS LTDA,03469182000132,ETANOL,06/02/2020,"3,499",PETROBRAS DISTRIBUIDORA S.A.
JJS COMERCIO DE COMBUSTIVEIS LTDA,03469182000485,ETANOL,06/02/2020,"3,499",PETROBRAS DISTRIBUIDORA S.A.
PETRO RIOS COMERCIO DERIVADOS DE PETROLEO LTDA,38074571000143,ETANOL,06/02/2020,"3,594",IPIRANGA
PETRONORTE COMBUSTIVEIS LTDA,06071706000120,ETANOL,06/02/2020,"3,459",IPIRANGA
PLAYTIME COMBUSTIVEIS E LUBRIFICANTES S/A,26464289000193,ETANOL,06/02/2020,"3,49",RAIZEN
POSTO PARQUE ELDORADO DERIVADOS DE PETROLEO LTDA,04154053000118,ETANOL,06/02/2020,"3,594",BRANCA
POSTO SIA 3 LTDA,02040344000150,ETANOL,06/02/2020,"3,599",IPIRANGA
ABRITTA POSTOS DE SERVIÇOS LTDA,10668863000195,ETANOL,10/02/2020,"3,499",RAIZEN
AUTO POSTO ALMENARA LTDA.,05299796000149,ETANOL,10/02/2020,"3,499",RAIZEN
AUTO POSTO DO NUCLEO LTDA,04285663000150,ETANOL,10/02/2020,"3,499",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO ESQUINA LIMITADA,02551867000160,ETANOL,10/02/2020,"3,459",BRANCA
AUTO POSTO SAO MARCOS LTDA,72587132000172,ETANOL,10/02/2020,"3,549",RAIZEN
AUTO POSTO SOF NORTE LTDA,03951672000170,ETANOL,10/02/2020,"3,459",RAIZEN
BANTA COMERCIO DE COMBUSTIVEIS LTDA,07917405000138,ETANOL,10/02/2020,"3,59",RAIZEN
BRASAL COMBUSTIVEIS LTDA,00097626000168,ETANOL,10/02/2020,"3,699",RAIZEN
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597002655,ETANOL,10/02/2020,"3,499",IPIRANGA
CRUZEIRO COMBUSTIVEIS E SERVICOS S/A,26991067000129,ETANOL,10/02/2020,"3,599",IPIRANGA
MAXXI COMERCIO DE DERIVADOS DE PETROLEO LTDA,13640575000110,ETANOL,10/02/2020,"3,499",RAIZEN
MIZUNO KAY & CIA LTDA,00375386000116,ETANOL,10/02/2020,"3,599",PETROBRAS DISTRIBUIDORA S.A.
POSTO CIDADE DO AUTOMOVEL LTDA - ME,07441011000237,ETANOL,10/02/2020,"3,699",IPIRANGA
POSTO PARK SUL DERIVADOS DE PETROLEO LTDA,12856794000179,ETANOL,10/02/2020,"3,699",PETROBRAS DISTRIBUIDORA S.A.
POSTO SAÍDA SUL LTDA.,07210707000171,ETANOL,10/02/2020,"3,499",RAIZEN
SMAFF COMBUSTIVEIS LTDA,05662975000107,ETANOL,10/02/2020,"3,529",RAIZEN
AUTO POSTO AGUAS CLARAS LTDA,38076089000142,ETANOL,11/02/2020,"3,499",IPIRANGA
AUTO POSTO MILLENNIUM 2000 LTDA,03261491000627,ETANOL,11/02/2020,"3,699",BRANCA
AUTO POSTO ORIGINAL DERIVADOS DE PETROLEO LTDA,09075858000190,ETANOL,11/02/2020,"3,489",RAIZEN
AUTO POSTO SÃO MATEUS LTDA,07870568000102,ETANOL,11/02/2020,"3,499",PETROBRAS DISTRIBUIDORA S.A.
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA,37063328000914,ETANOL,11/02/2020,"3,489",IPIRANGA
AUTO VOLUME COMERCIO DE DERIVADOS DE PETROLEO LTDA,25015036000170,ETANOL,11/02/2020,"3,499",RAIZEN
POSTO AVENIDA HELIO PRATES LTDA.,10459168000113,ETANOL,11/02/2020,"3,599",RAIZEN
POSTO CEILANDIA LTDA,00342436000169,ETANOL,11/02/2020,"3,499",RAIZEN
SOUSA & ALVES COMERCIO DE DERIVADOS DE PETROLEO LTDA,07111605000107,ETANOL,11/02/2020,"3,599",RAIZEN
TAGUACENTRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,12093145000163,ETANOL,11/02/2020,"3,639",RAIZEN
AUTO POSTO BRAGA LTDA,05208306000151,ETANOL,12/02/2020,"3,599",IPIRANGA
