nome,cnpj,produto,data,preco,bandeira
POSTO JARDIM AMERICA DE BAURU LTDA,00002953000199,GASOLINA,26/02/2020,"4,299",IPIRANGA
POSTO JARDIM AMERICA DE BAURU LTDA,00002953000270,GASOLINA,26/02/2020,"4,199",PETROBRAS DISTRIBUIDORA S.A.
COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,00003188000202,GASOLINA,27/02/2020,"4,069",BRANCA
COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,00003188000474,GASOLINA,27/02/2020,"4,069",BRANCA
COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,00003188000555,GASOLINA,27/02/2020,"4,099",BRANCA
COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,00003188001950,ETANOL,28/02/2020,"2,999",BRANCA
NABAS & CAMARGO LTDA,00005087000190,ETANOL,26/02/2020,"3,099",PETROBRAS DISTRIBUIDORA S.A.
M L SOUZA & CIA LTDA,00005892000113,ETANOL,28/02/2020,"3,599",BRANCA
MJS AUTO POSTO LTDA,00007663000138,GASOLINA,20/02/2020,"4,439",BRANCA
POSTO DE SERVICOS TALISMA SAO PAULO LTDA,00016968000106,GASOLINA,20/02/2020,"4,999",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO DOCARMO LTDA,00017674000107,GASOLINA,19/02/2020,"4,499",BRANCA
POSTO CANAL 1 ARAÇATUBA LTDA,00018789000108,GASOLINA,26/02/2020,"4,499",IPIRANGA
CENTRO AUTOMOTIVO DUMONT LTDA,00029804000113,GASOLINA,05/02/2020,"4,59",IPIRANGA
POSTO CEBOLAO LTDA,00043554000176,GASOLINA,19/02/2020,"4,799",ALESAT
CENTRO AUTOMOTIVO BH SUL LTDA,00058752000456,GASOLINA,27/02/2020,"4,71",BRANCA
POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA,00062382000188,GASOLINA,24/02/2020,"4,19",PETROBRAS DISTRIBUIDORA S.A.
POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA,00062382000269,GASOLINA,24/02/2020,"4,16",BRANCA
POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA,00062382000340,GASOLINA,25/02/2020,"4,16",BRANCA
POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA,00062382000420,GASOLINA,24/02/2020,"4,18",BRANCA
POSTO PARATI LTDA,00062780000102,GASOLINA,27/02/2020,"4,813",PETROBRAS DISTRIBUIDORA S.A.
POSTO LONGANA LTDA,00067750000180,GASOLINA,26/02/2020,"4,799",PETROBRAS DISTRIBUIDORA S.A.
ORGANIZAÇÃO NERI DE PETRÓLEO LTDA,00071655000150,GASOLINA,25/02/2020,"4,649",PETROBRAS DISTRIBUIDORA S.A.
POSTO ELDORADO LIMITADA,00073935000106,GASOLINA,25/02/2020,"4,499",IPIRANGA
DEHAINI & CIA LTDA,00076498000176,GASOLINA,24/02/2020,"4,279",RAIZEN
AUTO POSTO TEXANO I SHOPPING CENTER LTDA,00079728000150,GASOLINA,24/02/2020,"4,199",RAIZEN
FERRARI DISTRIBUIDORA DE COMBUST E LUBRIFICANTES LTDA,00080130000181,GASOLINA,05/02/2020,"4,79",BRANCA
POSTO REGINAS LTDA,00083430000114,GASOLINA,27/02/2020,"5,199",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO TALISMA LTDA,00087804000170,GASOLINA,20/02/2020,"4,499",IPIRANGA
POSTO GASTOTAL LTDA,00091610000148,GASOLINA,11/02/2020,"5,149",IPIRANGA
M M ORTIZ E CIA LTDA,00095795000169,GASOLINA,25/02/2020,"4,87",BRANCA
AUTO POSTO CAPIXABA LTDA,00097091000125,GASOLINA,17/02/2020,"4,849",BRANCA
BRASAL COMBUSTIVEIS LTDA,00097626000168,ETANOL,28/02/2020,"3,699",RAIZEN
BRASAL COMBUSTIVEIS LTDA,00097626000672,GASOLINA,18/02/2020,"4,379",RAIZEN
AUTO POSTO DISNEY LTDA,00100521000110,GASOLINA,25/02/2020,"4,499",BRANCA
PETROLSTYLL COMERCIO DE PETROLEO LTDA,00106531000163,GASOLINA,24/02/2020,"4,77",BRANCA
JARJOUR VEICULOS E PETROLEO LIMITADA,00108670000126,ETANOL,28/02/2020,"3,419",BRANCA
JARJOUR VEICULOS E PETROLEO LIMITADA,00108670000207,GASOLINA,06/02/2020,"4,399",BRANCA
COLONIAL PRODUTOS E SERVICOS LTDA,00108775000185,GASOLINA,27/02/2020,"4,499",IPIRANGA
POSTAO COMERCIO E TRANSPORTE DE COMBUSTIVEIS EIRELI,00109077000285,GASOLINA,19/02/2020,"4,59",IPIRANGA
POSTO DE COMBUSTIVEIS REDE M7 EIRELI,00109576000191,GASOLINA,25/02/2020,"4,379",DIBRAPE
COMERCIAL DE COMBUSTIVEIS TAMANDARE LTDA,00114130000317,GASOLINA,03/02/2020,"4,929",RAIZEN
SEYBOTH & SEYBOTH LTDA,00115848000166,ETANOL,28/02/2020,"3,54",IPIRANGA
POSTO KM 13 DA DUTRA LTDA,00118442000137,ETANOL,28/02/2020,"3,999",BRANCA
PANDA COMERCIO DE COMBUSTIVEIS E SERVICOS LTDA,00118598000541,GASOLINA,26/02/2020,"4,29",RODOIL
PANDA COMERCIO DE COMBUSTIVEIS E SERVICOS LTDA,00118598000622,GASOLINA,26/02/2020,"4,68",RODOIL
FERLIM & FERLIM LTDA,00118860000124,ETANOL,28/02/2020,"3,59",IPIRANGA
POSTO SHOPPING CAR COMBUSTIVEIS LTDA,00121811000221,ETANOL,28/02/2020,"4,59",IPIRANGA
POSTO SHOPPING CAR COMBUSTIVEIS LTDA,00121811000493,GASOLINA,28/02/2020,"4,639",BRANCA
POSTO SHOPPING CAR COMBUSTIVEIS LTDA,00121811000736,GASOLINA,13/02/2020,"4,46",BRANCA
POSTO SHOPPING CAR COMBUSTIVEIS LTDA,00121811000906,ETANOL,28/02/2020,"4,199",PETROBRAS DISTRIBUIDORA S.A.
DOBSON COMERCIO DE COMBUSTIVEIS LTDA,00122418000171,GASOLINA,04/02/2020,"4,099",RAIZEN
AUTO POSTO RIO DAS PEDRAS LTDA,00125318000107,GASOLINA,27/02/2020,"4,349",BRANCA
V F COMBUSTIVEIS LTDA,00126248000101,GASOLINA,03/02/2020,"4,899",IPIRANGA
